Id;Autores;Titulo;Editora;Tipo;Ano de Publicacao;Issn
1;autor 1,  autor 2;Pequeno Principe;Saraiva;L;2009;ADO3PJ-520
2;autor;Teste;editora;P;2007;0083-JXCMAD
2;autor 1,  autora 2;Titulo Livro;Minha Editora;P;2007;009MOEM-W
3;aopod;dapopoad;dapokopda;P;2020;djpaoda
4;ajdpada;apodopa;apjpdoa;L;1867;ajdoaijda
5;czncoizcnzoicz;kznckznklcz;cizonoizc;P;1998;cnzioczniocz
6;adjpodapda,  aokdpoa;oi;pajdpa;L;2008;adjpajd
7;dapjpdajpd;adiadjai;dajpda;P;2010;adajdpaoda
8;dmpoamodpa;dmada;aomdopamdpoada;P;1998;ajpdpoajdpoa
9;ajdpojdaopdapo,  poajdpoaj;mandakndandia;adaok;P;1667;jdpajpda
10;jodaoida,  iajdoia;mcdaiodj;editora 1;P;1976;OZCMII4JMF-4242
11;dajpdapodapodpoaoda;adjapodpoa;cmkzncmkznkocz;L;1965;czczcjkzbjcajkjkqdqu
12;autores,  autor,  autor3;teste;editora teste;P;2009;JDAJDPOAJPODAJPODOAP
13;DAPDMPDA,  APDOA;MXNZIZ;apodpaoda;L;2021;ziadoajodaj13131
14;daokdoakdkapkpdoa;adpoakdpoa;ckmclklmkxlm;P;2000;zcnozncoizncoizcz
15;ampodam;adoapmda;amopda;P;1998;dadai
16;DAJIDAI,  AIODIOA;CZMCZKCZ;CZMCZI;P;2009;ZOC
17;akdpoakdap;ddkoakoad;kdoakoa;P;2009;dapo
18;zcmzocpmpz;akpodkoad;dapomda;P;1990;daoidia
